iteration,current_obj,best_obj
0,3250.56,3250.56
1,791.197,791.197
2,779.47,779.47
3,787.95,779.47
4,1358.75,779.47
5,1353.79,779.47
6,774.278,774.278
7,718.188,718.188
8,726.476,718.188
9,687.325,687.325
10,687.325,687.325
11,672.752,672.752
12,672.752,672.752
13,672.752,672.752
14,672.712,672.712
15,672.712,672.712
16,672.752,672.712
17,672.712,672.712
18,672.712,672.712
19,749.946,672.712
20,726.855,672.712
21,719.156,672.712
22,699.863,672.712
23,699.823,672.712
24,680.626,672.712
25,694.044,672.712
26,694.044,672.712
27,715.159,672.712
28,712.12,672.712
29,749.062,672.712
30,717.613,672.712
31,707.275,672.712
32,707.275,672.712
33,705.161,672.712
34,2138.52,672.712
35,2047.62,672.712
36,719.264,672.712
37,700.083,672.712
38,711.534,672.712
39,1712.2,672.712
40,779.419,672.712
41,766.424,672.712
42,766.424,672.712
43,754.164,672.712
44,742.158,672.712
45,765.582,672.712
46,756.765,672.712
47,737.603,672.712
48,716.536,672.712
49,698.93,672.712
50,720.855,672.712
51,733.127,672.712
52,735.597,672.712
53,756.993,672.712
54,1150.21,672.712
55,766.601,672.712
56,766.422,672.712
57,1361.15,672.712
58,1376.24,672.712
59,1620.06,672.712
60,771.042,672.712
61,762.088,672.712
62,745.846,672.712
63,718.415,672.712
64,717.436,672.712
65,1020.33,672.712
66,708.237,672.712
67,3449.16,672.712
68,3458.61,672.712
69,709.911,672.712
70,703.492,672.712
71,752.566,672.712
72,749.421,672.712
73,1323.44,672.712
74,2065.33,672.712
75,1465.45,672.712
76,1489.56,672.712
77,755.672,672.712
78,2011.88,672.712
79,2050.91,672.712
80,785.428,672.712
81,748.89,672.712
82,746.274,672.712
83,1615.2,672.712
84,724.394,672.712
85,711.668,672.712
86,710.866,672.712
87,708.019,672.712
88,2289.74,672.712
89,2378.09,672.712
90,719.505,672.712
91,716.45,672.712
92,713.546,672.712
93,734.545,672.712
94,3567.36,672.712
95,956.165,672.712
96,918.213,672.712
97,901.693,672.712
98,893.753,672.712
99,710.74,672.712
100,696.72,672.712
101,1651.29,672.712
102,1610.05,672.712
103,1608.19,672.712
104,699.708,672.712
105,694.012,672.712
106,692.242,672.712
107,686.546,672.712
108,723.74,672.712
109,704.545,672.712
110,714.429,672.712
111,1050.3,672.712
112,777.034,672.712
113,739.884,672.712
114,715.048,672.712
115,715.048,672.712
116,720.744,672.712
117,1640.3,672.712
118,751.565,672.712
119,759.63,672.712
120,733.27,672.712
121,737.693,672.712
122,2946.32,672.712
123,1089.33,672.712
124,907.626,672.712
125,750.451,672.712
126,740.461,672.712
127,740.447,672.712
128,739.941,672.712
129,726.681,672.712
130,989.249,672.712
131,991.875,672.712
132,781.514,672.712
133,781.514,672.712
134,791.641,672.712
135,733.356,672.712
136,733.356,672.712
137,802.095,672.712
138,805.402,672.712
139,721.333,672.712
140,743.446,672.712
141,711.34,672.712
142,711.34,672.712
143,711.34,672.712
144,731.867,672.712
145,731.517,672.712
146,731.539,672.712
147,731.539,672.712
148,744.865,672.712
149,769.858,672.712
150,769.857,672.712
151,729.228,672.712
152,719.385,672.712
153,752.853,672.712
154,724.915,672.712
155,719.803,672.712
156,725.186,672.712
157,740.158,672.712
158,735.069,672.712
159,795.22,672.712
160,778.145,672.712
161,1123.11,672.712
162,722.584,672.712
163,722.584,672.712
164,722.584,672.712
165,737.13,672.712
166,728.798,672.712
167,731.535,672.712
168,716.984,672.712
169,700.573,672.712
170,698.944,672.712
171,747.698,672.712
172,720.784,672.712
173,694.418,672.712
174,709.359,672.712
175,709.359,672.712
176,699.778,672.712
177,692.685,672.712
178,719.252,672.712
179,2989.83,672.712
180,986.528,672.712
181,973.993,672.712
182,963.795,672.712
183,944.792,672.712
184,671.04,671.04
185,671.04,671.04
186,670.1,670.1
187,688.076,670.1
188,663.714,663.714
189,784.109,663.714
190,766.075,663.714
191,705.237,663.714
192,693.112,663.714
193,691.251,663.714
194,688.731,663.714
195,689.661,663.714
196,689.575,663.714
197,689.575,663.714
198,687.967,663.714
199,709.63,663.714
200,682.899,663.714
201,677.131,663.714
202,677.131,663.714
203,677.131,663.714
204,677.131,663.714
205,670.891,663.714
206,670.891,663.714
207,1193.35,663.714
208,1305.29,663.714
209,803.005,663.714
210,716.943,663.714
211,714.078,663.714
212,713.919,663.714
213,711.313,663.714
214,691.198,663.714
215,3561.11,663.714
216,1622.33,663.714
217,1253.4,663.714
218,675.593,663.714
219,675.165,663.714
220,675.165,663.714
221,675.165,663.714
222,675.165,663.714
223,1697.33,663.714
224,675.487,663.714
225,675.487,663.714
226,675.487,663.714
227,676.81,663.714
228,667.567,663.714
229,667.567,663.714
230,667.567,663.714
231,690.939,663.714
232,701.579,663.714
233,686.792,663.714
234,1117.3,663.714
235,1117.3,663.714
236,1117.3,663.714
237,769.112,663.714
238,851.069,663.714
239,699.872,663.714
240,699.66,663.714
241,696.067,663.714
242,696.067,663.714
243,696.067,663.714
244,696.067,663.714
245,696.067,663.714
246,695.179,663.714
247,695.179,663.714
248,1263.96,663.714
249,706.672,663.714
250,692.235,663.714
251,692.235,663.714
252,692.235,663.714
253,673.93,663.714
254,679.719,663.714
255,682.076,663.714
256,682.076,663.714
257,684.64,663.714
258,682.076,663.714
259,679.862,663.714
260,679.289,663.714
261,681.728,663.714
262,681.728,663.714
263,681.728,663.714
264,697.441,663.714
265,968.68,663.714
266,961.02,663.714
267,1004.11,663.714
268,977.319,663.714
269,1947.78,663.714
270,1947.78,663.714
271,1736.67,663.714
272,718.526,663.714
273,692.743,663.714
274,705.262,663.714
275,705.262,663.714
276,691.179,663.714
277,682.232,663.714
278,690.696,663.714
279,682.232,663.714
280,682.232,663.714
281,682.232,663.714
282,685.877,663.714
283,707.695,663.714
284,727.783,663.714
285,709.26,663.714
286,694.551,663.714
287,679.309,663.714
288,673.443,663.714
289,678.801,663.714
290,678.801,663.714
291,679.89,663.714
292,687.372,663.714
293,681.676,663.714
294,678.232,663.714
295,683.928,663.714
296,685.864,663.714
297,685.864,663.714
298,685.864,663.714
299,684.775,663.714
300,684.775,663.714
301,684.575,663.714
302,682.507,663.714
303,682.507,663.714
304,680.99,663.714
305,1214.11,663.714
306,849.612,663.714
307,726.424,663.714
308,721.925,663.714
309,734.97,663.714
310,728.936,663.714
311,694.68,663.714
312,694.68,663.714
313,693.357,663.714
314,843.273,663.714
315,718.864,663.714
316,704.068,663.714
317,708.188,663.714
318,736.805,663.714
319,733.137,663.714
320,705.7,663.714
321,691.936,663.714
322,718.346,663.714
323,718.072,663.714
324,718.072,663.714
325,718.072,663.714
326,701.451,663.714
327,700.252,663.714
328,700.252,663.714
329,697.818,663.714
330,694.167,663.714
331,714.09,663.714
332,712.377,663.714
333,693.078,663.714
334,693.078,663.714
335,694.748,663.714
336,723.238,663.714
337,726.717,663.714
338,697.175,663.714
339,697.175,663.714
340,697.175,663.714
341,4113.23,663.714
342,4304.53,663.714
