iteration,current_obj,best_obj
0,3019.34,3019.34
1,4149.19,3019.34
2,2289.21,2289.21
3,884.579,884.579
4,915.155,884.579
5,893.321,884.579
6,1808.88,884.579
7,1808.88,884.579
8,1488.57,884.579
9,839.814,839.814
10,839.577,839.577
11,1138.74,839.577
12,1138.74,839.577
13,1539.13,839.577
14,1528.1,839.577
15,847.531,839.577
16,837.834,837.834
17,819.216,819.216
18,893.915,819.216
19,2935.15,819.216
20,1092.07,819.216
21,1092.07,819.216
22,1304.87,819.216
23,1376.38,819.216
24,898.357,819.216
25,835.499,819.216
26,979.681,819.216
27,1014.67,819.216
28,1069.55,819.216
29,927.95,819.216
30,910.069,819.216
31,910.069,819.216
32,910.069,819.216
33,910.069,819.216
34,904.628,819.216
35,904.628,819.216
36,991.881,819.216
37,991.881,819.216
38,991.881,819.216
39,887.99,819.216
40,929.111,819.216
41,893.393,819.216
42,2194.94,819.216
43,864.079,819.216
44,1753.24,819.216
45,1713.46,819.216
46,1697.56,819.216
47,1330.04,819.216
48,1330.04,819.216
49,863.805,819.216
50,824.425,819.216
51,821.496,819.216
52,821.835,819.216
53,797.232,797.232
54,797.436,797.232
55,799.597,797.232
56,897.353,797.232
57,1362.66,797.232
58,824.891,797.232
59,824.891,797.232
60,811.124,797.232
61,821.873,797.232
62,838.702,797.232
63,882.63,797.232
64,882.63,797.232
65,848.977,797.232
66,789.597,789.597
67,1481.82,789.597
68,811.368,789.597
69,811.368,789.597
70,816.491,789.597
71,821.613,789.597
72,821.613,789.597
73,821.613,789.597
74,1749.73,789.597
75,1749.73,789.597
76,1514.42,789.597
77,1522.13,789.597
78,1717.33,789.597
79,958.904,789.597
80,960.601,789.597
81,853.902,789.597
82,853.902,789.597
83,820.653,789.597
84,820.653,789.597
85,2753.25,789.597
86,833.627,789.597
87,947.122,789.597
88,828.722,789.597
89,828.722,789.597
90,884.877,789.597
91,884.877,789.597
92,2235.32,789.597
93,2049.01,789.597
94,3391.12,789.597
95,2073.3,789.597
96,2794.49,789.597
97,1052.22,789.597
