iteration,current_obj,best_obj
0,3348.61,3348.61
1,1307.92,1307.92
2,1307.92,1307.92
3,976.595,976.595
4,976.595,976.595
5,976.595,976.595
6,976.595,976.595
7,976.595,976.595
8,1217.61,976.595
9,1692.37,976.595
10,1692.37,976.595
11,936.765,936.765
12,1286.75,936.765
13,1238.73,936.765
14,1511.45,936.765
15,1511.45,936.765
16,1383.92,936.765
17,1268.19,936.765
18,869.73,869.73
19,970.372,869.73
20,1079.17,869.73
21,1079.17,869.73
22,972.47,869.73
23,982.224,869.73
24,1006.13,869.73
25,999.641,869.73
26,845.158,845.158
27,798.303,798.303
28,849.054,798.303
29,815.126,798.303
30,950.009,798.303
31,792.252,792.252
32,792.252,792.252
33,804.775,792.252
34,810.438,792.252
35,1554.79,792.252
36,1554.79,792.252
37,1554.79,792.252
38,4732.24,792.252
39,828.026,792.252
40,1049.97,792.252
41,1420.28,792.252
42,1631.62,792.252
43,1010.23,792.252
44,814.055,792.252
45,814.055,792.252
46,866.104,792.252
47,3036.33,792.252
48,3036.33,792.252
49,3512.17,792.252
50,823.652,792.252
51,2306.85,792.252
52,4374.12,792.252
53,2703,792.252
54,3092.24,792.252
55,3092.8,792.252
56,5429.65,792.252
57,1067.16,792.252
58,1096.46,792.252
59,822.522,792.252
60,901.274,792.252
61,852.225,792.252
62,825.005,792.252
63,840.741,792.252
64,840.741,792.252
65,820.015,792.252
66,821.235,792.252
67,894.601,792.252
68,894.601,792.252
69,986.403,792.252
70,986.403,792.252
71,978.849,792.252
72,997.849,792.252
73,910.133,792.252
74,1270.07,792.252
75,1163.6,792.252
76,810.569,792.252
77,821.106,792.252
78,821.106,792.252
79,846.563,792.252
80,1652.45,792.252
81,813.338,792.252
82,813.338,792.252
83,4366.23,792.252
84,3922.14,792.252
85,3922.71,792.252
86,4026.66,792.252
87,4026.66,792.252
88,4026.66,792.252
89,1047.43,792.252
90,820.868,792.252
91,1210.83,792.252
92,1210.83,792.252
93,1253.83,792.252
94,1224.5,792.252
95,1269.54,792.252
96,1219.26,792.252
97,1219.26,792.252
98,1510.37,792.252
99,1769.06,792.252
100,798.48,792.252
101,981.48,792.252
102,1361.99,792.252
103,1371.34,792.252
104,1254.48,792.252
105,1249.56,792.252
106,835.813,792.252
107,835.813,792.252
108,1119.29,792.252
109,1581.58,792.252
110,1568.05,792.252
111,895.606,792.252
112,872.723,792.252
113,872.723,792.252
114,1288.11,792.252
115,2654.42,792.252
116,1597.98,792.252
117,2800.54,792.252
118,1325.29,792.252
119,1410.12,792.252
120,1402.23,792.252
121,1588.11,792.252
122,4060.15,792.252
123,851.017,792.252
124,851.017,792.252
125,836.75,792.252
126,841.007,792.252
127,852.695,792.252
128,886.097,792.252
129,886.097,792.252
130,886.097,792.252
131,880.729,792.252
132,880.729,792.252
133,914.11,792.252
134,876.08,792.252
135,836.227,792.252
136,1637.28,792.252
137,6430.8,792.252
138,2021.9,792.252
139,1728.52,792.252
140,1584.16,792.252
141,1268.3,792.252
142,860.052,792.252
143,852.114,792.252
144,837.76,792.252
145,837.76,792.252
146,818.416,792.252
147,1087.78,792.252
148,793.065,792.252
149,778.524,778.524
150,960.342,778.524
151,1174.43,778.524
152,851.186,778.524
153,1172.59,778.524
154,1531.88,778.524
155,1528.13,778.524
156,1180.16,778.524
157,1189.61,778.524
158,1441.35,778.524
159,1079.86,778.524
160,1079.86,778.524
161,1051.82,778.524
162,1610.81,778.524
163,1401.94,778.524
164,981.452,778.524
165,1077.59,778.524
166,2626.07,778.524
167,2626.07,778.524
168,904.846,778.524
169,904.846,778.524
170,1706.98,778.524
171,1345.22,778.524
172,1345.22,778.524
173,2800.7,778.524
174,3569.67,778.524
175,4872.7,778.524
176,5107.24,778.524
177,5079.75,778.524
178,3955.23,778.524
179,3381.13,778.524
