iteration,current_obj,best_obj
0,786.356,786.356
1,736.657,736.657
2,724.602,724.602
3,724.602,724.602
4,724.602,724.602
5,724.602,724.602
6,724.602,724.602
7,712.355,712.355
8,712.355,712.355
9,712.355,712.355
10,703.227,703.227
11,720.957,703.227
12,702.029,702.029
13,709.249,702.029
14,709.249,702.029
15,703.247,702.029
16,703.247,702.029
17,694.742,694.742
18,1016.51,694.742
19,957.911,694.742
20,957.911,694.742
21,673.595,673.595
22,667.018,667.018
23,717.718,667.018
24,717.718,667.018
25,717.718,667.018
26,717.718,667.018
27,717.718,667.018
28,729.281,667.018
29,730.861,667.018
30,745.36,667.018
31,730.376,667.018
32,688.825,667.018
33,681.902,667.018
34,764.307,667.018
35,699.094,667.018
36,699.094,667.018
37,699.094,667.018
38,699.094,667.018
39,731.426,667.018
40,731.036,667.018
41,705.91,667.018
42,823.339,667.018
43,716.48,667.018
44,703.435,667.018
45,703.435,667.018
46,696.198,667.018
47,696.198,667.018
48,688.768,667.018
49,688.768,667.018
50,690.468,667.018
51,726.679,667.018
52,763.757,667.018
53,732.712,667.018
54,732.712,667.018
55,720.353,667.018
56,723.352,667.018
57,705.702,667.018
58,727.685,667.018
59,727.685,667.018
60,736.157,667.018
61,720.473,667.018
62,720.473,667.018
63,721.233,667.018
64,721.233,667.018
65,738.237,667.018
66,723.514,667.018
67,723.511,667.018
68,723.868,667.018
69,780.301,667.018
70,786.131,667.018
71,752.567,667.018
72,744.916,667.018
73,740.739,667.018
74,740.135,667.018
75,740.135,667.018
76,728.224,667.018
77,727.429,667.018
78,734.871,667.018
79,734.871,667.018
80,724.469,667.018
81,760.109,667.018
82,721.65,667.018
83,721.168,667.018
84,711.286,667.018
85,708.306,667.018
86,708.306,667.018
87,706.462,667.018
88,699.558,667.018
89,719.442,667.018
90,701.141,667.018
91,697.056,667.018
92,701.129,667.018
93,701.129,667.018
94,701.129,667.018
95,692.028,667.018
96,692.028,667.018
97,691.657,667.018
98,689.586,667.018
99,689.586,667.018
100,713.26,667.018
101,713.26,667.018
102,794.934,667.018
103,713.764,667.018
104,748.54,667.018
105,743.29,667.018
106,783.397,667.018
107,765.597,667.018
108,732.15,667.018
109,870.893,667.018
110,873.062,667.018
111,730.142,667.018
112,721.802,667.018
113,711.084,667.018
114,703.534,667.018
115,698.78,667.018
116,693.629,667.018
117,693.629,667.018
118,693.277,667.018
119,693.277,667.018
120,710.829,667.018
121,710.829,667.018
122,689.732,667.018
123,689.732,667.018
124,725.211,667.018
125,724.753,667.018
126,728.897,667.018
127,701.02,667.018
128,701.02,667.018
129,696.526,667.018
130,733.644,667.018
131,732.352,667.018
132,698.381,667.018
133,686.937,667.018
134,682.304,667.018
135,678.919,667.018
136,695.269,667.018
137,678.919,667.018
138,682.055,667.018
139,684.645,667.018
140,696.145,667.018
141,696.145,667.018
142,685.553,667.018
143,684.411,667.018
144,676.553,667.018
145,676.553,667.018
146,1107.04,667.018
147,781.248,667.018
148,788.675,667.018
149,788.675,667.018
150,757.279,667.018
151,739.117,667.018
152,736.77,667.018
153,725.083,667.018
154,722.49,667.018
155,698.836,667.018
156,1299.03,667.018
157,701.404,667.018
158,963.605,667.018
159,722.617,667.018
160,705.787,667.018
