iteration,current_obj,best_obj
0,8096.1,8096.1
1,2571.17,2571.17
2,927.642,927.642
3,941.699,927.642
4,2911.1,927.642
5,2005.38,927.642
6,2376.56,927.642
7,2418.37,927.642
8,989.489,927.642
9,980.749,927.642
10,814.825,814.825
11,2705.38,814.825
12,1158.68,814.825
13,1390.74,814.825
14,1356.23,814.825
15,916.02,814.825
16,1792.74,814.825
17,1710.86,814.825
18,868.015,814.825
19,1411.53,814.825
20,1365.47,814.825
21,2180.55,814.825
22,2826.89,814.825
23,2827.66,814.825
24,898.1,814.825
25,898.1,814.825
26,898.1,814.825
27,1764.52,814.825
28,2804.3,814.825
29,887.211,814.825
30,922.097,814.825
31,1049.53,814.825
32,908.345,814.825
33,857.525,814.825
34,857.525,814.825
35,1012.81,814.825
36,886.372,814.825
37,1752.18,814.825
38,3910.68,814.825
39,4258.12,814.825
40,4291.83,814.825
41,4291.83,814.825
42,1121.62,814.825
43,844.245,814.825
44,884.638,814.825
45,862.345,814.825
46,866.771,814.825
47,4881.67,814.825
48,6390.7,814.825
49,3423.54,814.825
50,3423.54,814.825
51,3423.54,814.825
52,2135.6,814.825
53,853.03,814.825
54,842.572,814.825
55,1158.53,814.825
56,1705.24,814.825
57,811.528,811.528
58,834.207,811.528
59,1710.99,811.528
60,1727.18,811.528
61,858.5,811.528
62,2106.93,811.528
63,1239.36,811.528
64,8683.72,811.528
65,8657.25,811.528
66,860.06,811.528
67,1089.93,811.528
68,829.912,811.528
69,1394.99,811.528
70,2213.55,811.528
71,2324.48,811.528
72,786.998,786.998
73,806.055,786.998
74,2508.95,786.998
75,3122.61,786.998
76,2810.85,786.998
77,3795.21,786.998
78,876.017,786.998
79,852.009,786.998
80,856.85,786.998
81,852.992,786.998
82,1443.14,786.998
83,2848.24,786.998
84,1463.06,786.998
85,827.522,786.998
86,885.317,786.998
87,1694.19,786.998
88,1685.22,786.998
89,1810.8,786.998
90,1810.8,786.998
91,2093.62,786.998
92,900.931,786.998
93,1734.12,786.998
94,1163.51,786.998
95,848.509,786.998
96,834.443,786.998
97,813.273,786.998
98,2197.89,786.998
99,1411.64,786.998
100,2039.01,786.998
101,1982.56,786.998
102,824.478,786.998
103,1658.38,786.998
104,1705.63,786.998
105,1711.19,786.998
106,2271.86,786.998
107,1340.12,786.998
108,1340.12,786.998
109,1340.12,786.998
110,2177.53,786.998
111,1668.85,786.998
112,6181.72,786.998
113,1960.97,786.998
114,1942.93,786.998
115,2107.52,786.998
116,2605.34,786.998
117,866.683,786.998
118,822.317,786.998
119,816.428,786.998
120,4272.34,786.998
121,4272.34,786.998
122,1311.05,786.998
123,1187.6,786.998
124,1895.94,786.998
125,1895.94,786.998
126,2388.3,786.998
127,1044.66,786.998
128,1044.66,786.998
129,2058.46,786.998
130,1007.15,786.998
131,1639.06,786.998
132,1059.7,786.998
133,964.753,786.998
134,1297.8,786.998
135,893.194,786.998
136,972.315,786.998
137,828.989,786.998
138,814.992,786.998
139,801.247,786.998
140,2072.68,786.998
141,797.812,786.998
142,1239.26,786.998
143,1268.01,786.998
144,1405.34,786.998
145,4019.22,786.998
146,1835.5,786.998
147,1917.31,786.998
148,1917.31,786.998
149,851.257,786.998
150,851.257,786.998
151,851.257,786.998
152,852.235,786.998
153,871.399,786.998
154,871.399,786.998
155,932.49,786.998
156,953.418,786.998
157,845.598,786.998
158,828.084,786.998
159,978.459,786.998
160,963.207,786.998
161,841.565,786.998
162,812.738,786.998
163,3038.36,786.998
164,2868.94,786.998
165,2868.94,786.998
166,841.686,786.998
167,1283.97,786.998
168,2512.65,786.998
169,2357.96,786.998
170,2925.56,786.998
171,2499.06,786.998
172,5554.22,786.998
173,1421.88,786.998
174,948.493,786.998
175,903.971,786.998
176,903.464,786.998
177,853.084,786.998
178,6102.94,786.998
179,2804.03,786.998
180,1114.32,786.998
181,908.04,786.998
182,3294.88,786.998
183,2996.01,786.998
184,883.748,786.998
185,2262.35,786.998
186,1464.33,786.998
187,1464.33,786.998
188,1464.33,786.998
189,1800.96,786.998
190,1800.96,786.998
191,838.358,786.998
192,843.983,786.998
193,832.139,786.998
194,1596.59,786.998
195,816.28,786.998
196,816.28,786.998
197,7732.19,786.998
198,6023.37,786.998
199,5268,786.998
200,1942.26,786.998
201,892.325,786.998
202,1732.19,786.998
203,1222.91,786.998
204,857.875,786.998
205,847.337,786.998
206,908.832,786.998
207,841.116,786.998
208,848.082,786.998
209,2090.78,786.998
210,831.57,786.998
211,831.57,786.998
212,829.628,786.998
213,1095.32,786.998
214,1095.32,786.998
215,1097.2,786.998
216,812.155,786.998
217,1827.15,786.998
218,1273.11,786.998
219,848.533,786.998
220,1934.79,786.998
221,1057.89,786.998
222,3926.29,786.998
223,3199.83,786.998
224,1923.24,786.998
225,1923.24,786.998
226,1701.05,786.998
227,1271.41,786.998
228,1271.41,786.998
229,1362.8,786.998
230,938.897,786.998
231,848.687,786.998
232,848.687,786.998
233,1887.43,786.998
234,1887.43,786.998
235,983.014,786.998
236,1042.59,786.998
237,836.056,786.998
238,836.056,786.998
239,1012.14,786.998
240,913.958,786.998
241,847.867,786.998
242,842.349,786.998
243,1755.22,786.998
244,910.961,786.998
245,2316.6,786.998
246,2290.98,786.998
247,1201.84,786.998
248,1201.84,786.998
249,2383.86,786.998
250,1128.92,786.998
251,1765.84,786.998
252,2086.67,786.998
253,2210.72,786.998
254,2044.16,786.998
255,1362.78,786.998
256,954.286,786.998
257,838.996,786.998
258,2393.22,786.998
259,1917.88,786.998
260,2812.74,786.998
261,2812.74,786.998
262,7210.66,786.998
263,1389.92,786.998
264,1092.5,786.998
265,1092.5,786.998
266,1092.5,786.998
267,2511.4,786.998
268,839.113,786.998
269,839.113,786.998
270,851.325,786.998
271,851.325,786.998
272,884.323,786.998
273,884.323,786.998
274,1811.89,786.998
275,1731.13,786.998
276,871.146,786.998
277,871.146,786.998
278,876.937,786.998
279,862.41,786.998
280,862.41,786.998
281,868.399,786.998
282,868.399,786.998
283,868.399,786.998
284,880.907,786.998
285,880.61,786.998
286,880.61,786.998
287,885.1,786.998
288,872.302,786.998
289,872.302,786.998
290,945.637,786.998
291,920.806,786.998
292,1049.25,786.998
293,1927.13,786.998
294,1951.27,786.998
295,1692.57,786.998
296,1677.05,786.998
297,792.925,786.998
298,1875.5,786.998
299,1767.41,786.998
300,2037.95,786.998
301,1790.55,786.998
302,965.599,786.998
303,1647.83,786.998
304,5367.98,786.998
305,889.891,786.998
306,1986.61,786.998
307,1776.81,786.998
308,1776.81,786.998
309,1147.95,786.998
310,1193.27,786.998
311,1211.88,786.998
312,1267.38,786.998
313,2424.26,786.998
314,1407.64,786.998
315,953.955,786.998
316,862.98,786.998
317,1668.26,786.998
318,837.299,786.998
319,3053.64,786.998
320,1165.56,786.998
321,1077.92,786.998
322,1070.66,786.998
323,1070.66,786.998
324,1048.44,786.998
325,1082.31,786.998
326,1082.31,786.998
327,1141.88,786.998
328,819.826,786.998
329,819.826,786.998
330,819.826,786.998
331,819.826,786.998
332,810.001,786.998
333,786.836,786.836
334,811.415,786.836
335,811.415,786.836
336,810.548,786.836
337,828.413,786.836
338,868.051,786.836
339,1107.12,786.836
340,1718.79,786.836
341,1552.78,786.836
342,1815.12,786.836
343,4773.29,786.836
344,4777.06,786.836
345,4238,786.836
346,4221.08,786.836
347,1083.53,786.836
348,837.246,786.836
349,874.392,786.836
350,878.624,786.836
351,881.806,786.836
352,3644.71,786.836
353,1552,786.836
354,1526.46,786.836
355,1526.46,786.836
356,872.709,786.836
357,1960.87,786.836
358,1010.23,786.836
359,801.208,786.836
360,809.511,786.836
361,980.362,786.836
362,980.362,786.836
363,1218.79,786.836
364,1218.39,786.836
365,1218.39,786.836
366,1203.55,786.836
