iteration,current_obj,best_obj
0,7148.75,7148.75
1,4162.58,4162.58
2,803.552,803.552
3,803.552,803.552
4,869.555,803.552
5,803.336,803.336
6,774.756,774.756
7,761.576,761.576
8,1142.23,761.576
9,781.445,761.576
10,767.331,761.576
11,757.481,757.481
12,765.887,757.481
13,764.038,757.481
14,764.038,757.481
15,759.683,757.481
16,746.079,746.079
17,1119.96,746.079
18,751.037,746.079
19,749.021,746.079
20,749.021,746.079
21,774.581,746.079
22,749.063,746.079
23,762.084,746.079
24,750.671,746.079
25,750.671,746.079
26,756.519,746.079
27,750.217,746.079
28,748.2,746.079
29,739.596,739.596
30,735.514,735.514
31,721.799,721.799
32,721.799,721.799
33,733.462,721.799
34,749.793,721.799
35,786.241,721.799
36,783.789,721.799
37,764.025,721.799
38,802.896,721.799
39,802.896,721.799
40,756.589,721.799
41,1852.44,721.799
42,799.331,721.799
43,786.523,721.799
44,785.638,721.799
45,779.707,721.799
46,756.213,721.799
47,731.797,721.799
48,821.76,721.799
49,817.477,721.799
50,846.918,721.799
51,837.614,721.799
52,795.176,721.799
53,795.176,721.799
54,785.008,721.799
55,784.466,721.799
56,784.466,721.799
57,726.257,721.799
58,743.968,721.799
59,731.665,721.799
60,715.367,715.367
61,1104.55,715.367
62,698.141,698.141
63,691.19,691.19
64,715.477,691.19
65,714.322,691.19
66,1112.26,691.19
67,1111.97,691.19
68,1111.97,691.19
69,1109.3,691.19
70,1046.57,691.19
71,725.742,691.19
72,725.28,691.19
73,725.215,691.19
74,706.8,691.19
75,1681.99,691.19
76,804.163,691.19
77,790.634,691.19
78,692.936,691.19
79,695.385,691.19
80,694.041,691.19
81,682.316,682.316
82,717.846,682.316
83,716.476,682.316
84,702.972,682.316
85,688.746,682.316
86,697.531,682.316
87,702.506,682.316
88,720.835,682.316
89,751.601,682.316
90,741.598,682.316
91,1071.04,682.316
92,1073.67,682.316
93,792.071,682.316
94,789.04,682.316
95,757.962,682.316
96,753.82,682.316
97,745.133,682.316
98,828.909,682.316
99,729.019,682.316
100,729.012,682.316
101,728.252,682.316
102,728.232,682.316
103,728.232,682.316
104,710.446,682.316
105,723.542,682.316
106,721.061,682.316
107,1321.53,682.316
108,1309.05,682.316
109,1309.05,682.316
110,1315.65,682.316
111,1306.53,682.316
112,1317.72,682.316
113,1309.47,682.316
114,776.376,682.316
115,826.751,682.316
116,742.767,682.316
117,742.173,682.316
118,1230.1,682.316
119,779.142,682.316
120,778.163,682.316
121,747.231,682.316
122,749.7,682.316
123,749.7,682.316
124,1332.29,682.316
125,1518.37,682.316
126,1518.37,682.316
127,787.471,682.316
128,722.539,682.316
129,713.751,682.316
130,715.252,682.316
131,703.646,682.316
132,755.058,682.316
133,717.859,682.316
134,918.601,682.316
135,901.047,682.316
136,901.047,682.316
137,1147.86,682.316
138,1144.56,682.316
139,1942.38,682.316
140,723.209,682.316
141,723.209,682.316
142,725.145,682.316
143,715.843,682.316
144,714.873,682.316
145,716.159,682.316
146,2905.34,682.316
147,2905.34,682.316
148,710.494,682.316
149,710.494,682.316
150,707.809,682.316
151,703.367,682.316
152,1452.39,682.316
153,1452.39,682.316
154,688.519,682.316
155,688.519,682.316
156,690.868,682.316
157,704.74,682.316
158,715.484,682.316
159,702.214,682.316
160,682.744,682.316
161,679.81,679.81
162,729.943,679.81
163,733.718,679.81
164,725.41,679.81
165,723.895,679.81
166,749.285,679.81
167,740.825,679.81
168,816.094,679.81
169,792.328,679.81
170,756.342,679.81
171,726.682,679.81
172,726.682,679.81
173,734.404,679.81
174,734.101,679.81
175,738.744,679.81
176,736.059,679.81
177,713.055,679.81
178,718.242,679.81
179,731.644,679.81
180,839.173,679.81
181,748.502,679.81
182,737.688,679.81
183,708.491,679.81
184,730.097,679.81
185,732.311,679.81
186,732.739,679.81
187,717.469,679.81
188,719.848,679.81
189,864.328,679.81
190,994.727,679.81
191,857.925,679.81
192,833.677,679.81
193,824.514,679.81
194,734.775,679.81
195,733.797,679.81
196,729.016,679.81
197,729.016,679.81
198,729.016,679.81
199,719.077,679.81
200,769.649,679.81
201,758.111,679.81
202,767.067,679.81
203,767.067,679.81
204,769.167,679.81
205,740.132,679.81
206,1862.42,679.81
207,705.336,679.81
208,1006.16,679.81
209,858.655,679.81
210,858.655,679.81
211,776.991,679.81
212,930.331,679.81
213,709.528,679.81
214,709.528,679.81
215,715.939,679.81
216,714.889,679.81
217,711.692,679.81
218,711.692,679.81
219,714.503,679.81
220,719.185,679.81
221,719.185,679.81
222,719.185,679.81
223,766.837,679.81
224,766.837,679.81
225,760.96,679.81
226,705.712,679.81
227,698.094,679.81
228,713.597,679.81
229,708.487,679.81
230,703.052,679.81
231,698.375,679.81
232,698.375,679.81
233,698.375,679.81
234,986.355,679.81
235,982.049,679.81
236,753.088,679.81
237,703.049,679.81
238,704.421,679.81
239,706.209,679.81
240,693.923,679.81
241,716.208,679.81
242,693.836,679.81
243,724.377,679.81
244,722.677,679.81
245,712.491,679.81
246,754.139,679.81
247,753.718,679.81
248,697.81,679.81
249,700.372,679.81
250,699,679.81
251,699,679.81
252,696.11,679.81
253,696.11,679.81
254,696.11,679.81
255,695.531,679.81
256,690.756,679.81
257,692.565,679.81
258,710.276,679.81
259,703.955,679.81
260,730.216,679.81
261,718.694,679.81
262,715.454,679.81
263,715.454,679.81
264,723.209,679.81
265,719.845,679.81
266,737.218,679.81
267,753.929,679.81
268,2438.81,679.81
269,4374.91,679.81
270,2677.6,679.81
271,2664.11,679.81
272,2664.11,679.81
273,2659.01,679.81
274,2637.59,679.81
275,712.018,679.81
276,712.018,679.81
277,697.418,679.81
278,973.572,679.81
279,959.953,679.81
280,971.5,679.81
281,697.533,679.81
282,733.298,679.81
283,715.809,679.81
284,715.809,679.81
285,731.089,679.81
286,734.966,679.81
287,708.478,679.81
288,708.478,679.81
289,700.448,679.81
290,700.428,679.81
291,698.433,679.81
292,697.525,679.81
293,697.525,679.81
294,697.525,679.81
295,686.949,679.81
296,686.949,679.81
297,697.58,679.81
298,671.986,671.986
299,671.986,671.986
300,668.257,668.257
301,668.257,668.257
302,665.218,665.218
303,665.218,665.218
304,676.363,665.218
305,757.916,665.218
306,714.095,665.218
307,714.095,665.218
308,729.529,665.218
309,1178.72,665.218
310,792.384,665.218
311,1572.85,665.218
312,758.577,665.218
313,732.927,665.218
314,732.927,665.218
315,740.605,665.218
316,727.418,665.218
317,715.068,665.218
318,715.068,665.218
319,703.566,665.218
320,713.136,665.218
321,749.686,665.218
322,740.974,665.218
323,745.972,665.218
324,744.1,665.218
325,736.015,665.218
326,750.035,665.218
327,739.327,665.218
328,720.138,665.218
329,1322.54,665.218
330,923.377,665.218
331,738.23,665.218
332,1281.72,665.218
333,982.153,665.218
334,979.62,665.218
335,730.483,665.218
336,736.162,665.218
337,719.869,665.218
338,751.443,665.218
339,720.302,665.218
340,709.2,665.218
341,721.432,665.218
342,718.798,665.218
343,705.902,665.218
344,706.702,665.218
345,706.702,665.218
346,704.89,665.218
347,694.633,665.218
348,681.959,665.218
349,764.619,665.218
350,764.619,665.218
351,862.894,665.218
352,839.27,665.218
353,701.064,665.218
354,684.602,665.218
355,684.954,665.218
356,689.249,665.218
357,702.141,665.218
358,694.777,665.218
359,729.413,665.218
360,724.836,665.218
361,709.753,665.218
362,730.741,665.218
363,720.704,665.218
364,702.206,665.218
365,696.005,665.218
366,692.945,665.218
367,679.474,665.218
368,697.915,665.218
369,1756.31,665.218
370,710.646,665.218
371,728.19,665.218
372,718.186,665.218
373,704.263,665.218
374,696.201,665.218
375,696.201,665.218
376,696.201,665.218
377,691.648,665.218
378,686.204,665.218
379,700.312,665.218
380,703.627,665.218
381,703.627,665.218
382,725.395,665.218
383,703.627,665.218
384,703.627,665.218
385,703.627,665.218
386,703.627,665.218
387,713.205,665.218
388,703.936,665.218
389,698.297,665.218
390,690.183,665.218
391,680.605,665.218
392,1274.67,665.218
393,678.862,665.218
394,678.108,665.218
395,684.154,665.218
396,706.297,665.218
397,690.477,665.218
398,690.477,665.218
399,678.291,665.218
400,678.291,665.218
401,697.126,665.218
402,694.513,665.218
403,716.914,665.218
404,709.355,665.218
405,705.881,665.218
406,690.623,665.218
407,691.287,665.218
408,673.04,665.218
409,1654.8,665.218
410,726.583,665.218
411,717.928,665.218
412,717.757,665.218
413,693.419,665.218
414,1151.71,665.218
415,859.759,665.218
416,1457.28,665.218
417,949.047,665.218
418,739.173,665.218
419,700.775,665.218
420,700.775,665.218
421,695.191,665.218
422,1866.45,665.218
423,2149.77,665.218
424,2191.37,665.218
425,1123.93,665.218
426,747.803,665.218
427,725.994,665.218
428,764.35,665.218
429,736.098,665.218
430,723.628,665.218
431,719.73,665.218
432,708.656,665.218
433,700.296,665.218
434,693.777,665.218
435,702.993,665.218
436,693.794,665.218
437,693.527,665.218
438,702.633,665.218
439,702.633,665.218
440,704.75,665.218
441,702.588,665.218
442,702.588,665.218
443,688.635,665.218
444,688.635,665.218
445,688.542,665.218
446,688.542,665.218
447,688.542,665.218
448,688.542,665.218
449,716.428,665.218
450,1259.41,665.218
451,1259.43,665.218
452,708.526,665.218
453,705.804,665.218
454,705.217,665.218
455,728.486,665.218
456,754.442,665.218
