iteration,current_obj,best_obj
0,784.427,784.427
1,785.709,784.427
2,785.709,784.427
3,768.828,768.828
4,760.434,760.434
5,1212.82,760.434
6,1212.82,760.434
7,739.961,739.961
8,739.961,739.961
9,739.961,739.961
10,733.528,733.528
11,729.068,729.068
12,720.247,720.247
13,711.188,711.188
14,698.769,698.769
15,732.553,698.769
16,725.495,698.769
17,725.495,698.769
18,740.837,698.769
19,740.837,698.769
20,723.048,698.769
21,721.569,698.769
22,727.415,698.769
23,707.348,698.769
24,698.786,698.769
25,694.875,694.875
26,694.875,694.875
27,718.733,694.875
28,710.132,694.875
29,710.543,694.875
30,796,694.875
31,796,694.875
32,694.73,694.73
33,695.597,694.73
34,703.096,694.73
35,717.401,694.73
36,703.264,694.73
37,704.242,694.73
38,702.611,694.73
39,899.449,694.73
40,899.449,694.73
41,701.633,694.73
42,701.633,694.73
43,737.125,694.73
44,732.319,694.73
45,728.424,694.73
46,717.373,694.73
47,706.548,694.73
48,710.371,694.73
49,708.05,694.73
50,699.753,694.73
51,699.753,694.73
52,699.753,694.73
53,730.058,694.73
54,705.872,694.73
55,705.983,694.73
56,721.465,694.73
57,696.185,694.73
58,709.9,694.73
59,710.252,694.73
60,712.992,694.73
61,706.085,694.73
62,706.085,694.73
63,701.748,694.73
64,701.748,694.73
65,701.244,694.73
66,717.119,694.73
67,715.775,694.73
68,730.956,694.73
69,796.218,694.73
70,796.218,694.73
71,798.349,694.73
72,722.688,694.73
73,722.688,694.73
74,782.292,694.73
75,717.552,694.73
76,785.166,694.73
77,804.716,694.73
78,742.513,694.73
79,710.815,694.73
80,697.929,694.73
81,805.721,694.73
82,728.182,694.73
83,718.883,694.73
84,718.883,694.73
85,714.959,694.73
86,716.192,694.73
87,716.192,694.73
88,765.503,694.73
89,765.503,694.73
90,753.359,694.73
91,753.359,694.73
92,731.352,694.73
93,1458.22,694.73
94,728.613,694.73
95,726.752,694.73
96,710.343,694.73
97,774.297,694.73
98,1518.96,694.73
99,1445.46,694.73
100,699.371,694.73
101,699.371,694.73
102,704.425,694.73
103,704.425,694.73
104,703.044,694.73
105,714.284,694.73
106,734.741,694.73
107,734.741,694.73
108,734.741,694.73
109,710.686,694.73
110,1450.03,694.73
111,1450.03,694.73
112,730.485,694.73
113,710.028,694.73
114,706.873,694.73
115,748.167,694.73
116,828.725,694.73
117,761.844,694.73
118,739.121,694.73
119,734.356,694.73
120,748.198,694.73
121,744.606,694.73
122,743.625,694.73
123,738.603,694.73
124,703.448,694.73
125,698.117,694.73
126,688.747,688.747
