iteration,current_obj,best_obj
0,3844.68,3844.68
1,7012.59,3844.68
2,5953.38,3844.68
3,2192.61,2192.61
4,2266.91,2192.61
5,852.989,852.989
6,1125.17,852.989
7,1132.25,852.989
8,996.23,852.989
9,860.48,852.989
10,845.693,845.693
11,807.269,807.269
12,802.934,802.934
13,1452.53,802.934
14,1433.39,802.934
15,2585.08,802.934
16,1956.28,802.934
17,1021.67,802.934
18,1021.67,802.934
19,1046.75,802.934
20,1011.75,802.934
21,1671.84,802.934
22,1302.19,802.934
23,1302.19,802.934
24,3479.22,802.934
25,905.421,802.934
26,1464.22,802.934
27,895.397,802.934
28,1552.39,802.934
29,1183,802.934
30,824.197,802.934
31,842.054,802.934
32,837.758,802.934
33,849.668,802.934
34,1249.92,802.934
35,861.225,802.934
36,861.225,802.934
37,845.665,802.934
38,1681.08,802.934
39,830.105,802.934
40,860.383,802.934
41,878.236,802.934
42,860.61,802.934
43,826.896,802.934
44,834.835,802.934
45,834.835,802.934
46,1464.88,802.934
47,1968.22,802.934
48,1055.34,802.934
49,862.36,802.934
50,862.36,802.934
51,853.768,802.934
52,853.768,802.934
53,869.652,802.934
54,869.652,802.934
55,869.652,802.934
56,877.499,802.934
57,1129.75,802.934
58,1226.74,802.934
59,1279.36,802.934
60,1262.82,802.934
61,1262.82,802.934
62,2324.51,802.934
63,1033.3,802.934
64,1363.26,802.934
65,1294.14,802.934
66,1244.3,802.934
67,1089.89,802.934
68,1793.77,802.934
69,1243.5,802.934
70,1243.5,802.934
71,2528.14,802.934
72,2403.61,802.934
73,1237.21,802.934
74,2572.08,802.934
75,2572.08,802.934
76,2570.85,802.934
77,1258.23,802.934
78,1258.23,802.934
79,1211.55,802.934
80,1289.5,802.934
81,1322.95,802.934
82,885.397,802.934
83,900.052,802.934
84,916.78,802.934
85,1526.45,802.934
86,1630.84,802.934
87,917.136,802.934
88,878.692,802.934
89,878.692,802.934
90,934.254,802.934
91,934.254,802.934
92,934.254,802.934
93,934.183,802.934
94,934.183,802.934
95,874.175,802.934
96,868.379,802.934
97,840.511,802.934
98,840.511,802.934
99,840.511,802.934
100,840.511,802.934
101,897.08,802.934
102,897.08,802.934
103,1204.27,802.934
104,1204.27,802.934
105,1024.13,802.934
106,980.843,802.934
107,983.334,802.934
108,1025.53,802.934
109,1102.32,802.934
110,1102.32,802.934
111,1102.32,802.934
112,1129.69,802.934
113,986.622,802.934
114,1088,802.934
115,4883.68,802.934
116,6831.08,802.934
117,6819.78,802.934
118,4328.22,802.934
119,2745.81,802.934
120,1857.41,802.934
121,1857.41,802.934
122,855.233,802.934
123,1176.11,802.934
124,1077.21,802.934
125,854.928,802.934
126,838.556,802.934
127,793.247,793.247
128,786.39,786.39
129,786.39,786.39
130,786.39,786.39
131,1179.88,786.39
132,1682.25,786.39
133,3159.09,786.39
