iteration,type,operator_id,weight
58,destroy,0,1
58,destroy,1,1
58,destroy,2,1
58,repair,0,1
58,repair,1,1
59,destroy,0,1
59,destroy,1,1
59,destroy,2,1
59,repair,0,1
59,repair,1,1
60,destroy,0,1
60,destroy,1,1
60,destroy,2,1
60,repair,0,1
60,repair,1,1
61,destroy,0,1
61,destroy,1,1
61,destroy,2,1
61,repair,0,1
61,repair,1,1
62,destroy,0,1
62,destroy,1,1
62,destroy,2,1
62,repair,0,1
62,repair,1,1
63,destroy,0,1
63,destroy,1,1
63,destroy,2,1
63,repair,0,1
63,repair,1,1
64,destroy,0,1
64,destroy,1,1
64,destroy,2,1
64,repair,0,1
64,repair,1,1
65,destroy,0,1
65,destroy,1,1
65,destroy,2,1
65,repair,0,1
65,repair,1,1
66,destroy,0,1
66,destroy,1,1
66,destroy,2,1
66,repair,0,1
66,repair,1,1
67,destroy,0,1
67,destroy,1,1
67,destroy,2,1
67,repair,0,1
67,repair,1,1
68,destroy,0,1
68,destroy,1,1
68,destroy,2,1
68,repair,0,1
68,repair,1,1
69,destroy,0,1
69,destroy,1,1
69,destroy,2,1
69,repair,0,1
69,repair,1,1
70,destroy,0,1
70,destroy,1,1
70,destroy,2,1
70,repair,0,1
70,repair,1,1
71,destroy,0,1
71,destroy,1,1
71,destroy,2,1
71,repair,0,1
71,repair,1,1
72,destroy,0,1
72,destroy,1,1
72,destroy,2,1
72,repair,0,1
72,repair,1,1
73,destroy,0,1
73,destroy,1,1
73,destroy,2,1
73,repair,0,1
73,repair,1,1
74,destroy,0,1
74,destroy,1,1
74,destroy,2,1
74,repair,0,1
74,repair,1,1
75,destroy,0,1
75,destroy,1,1
75,destroy,2,1
75,repair,0,1
75,repair,1,1
76,destroy,0,1
76,destroy,1,1
76,destroy,2,1
76,repair,0,1
76,repair,1,1
77,destroy,0,1
77,destroy,1,1
77,destroy,2,1
77,repair,0,1
77,repair,1,1
78,destroy,0,1
78,destroy,1,1
78,destroy,2,1
78,repair,0,1
78,repair,1,1
79,destroy,0,1
79,destroy,1,1
79,destroy,2,1
79,repair,0,1
79,repair,1,1
80,destroy,0,1
80,destroy,1,1
80,destroy,2,1
80,repair,0,1
80,repair,1,1
81,destroy,0,1
81,destroy,1,1
81,destroy,2,1
81,repair,0,1
81,repair,1,1
82,destroy,0,1
82,destroy,1,1
82,destroy,2,1
82,repair,0,1
82,repair,1,1
83,destroy,0,1
83,destroy,1,1
83,destroy,2,1
83,repair,0,1
83,repair,1,1
84,destroy,0,1
84,destroy,1,1
84,destroy,2,1
84,repair,0,1
84,repair,1,1
85,destroy,0,1
85,destroy,1,1
85,destroy,2,1
85,repair,0,1
85,repair,1,1
86,destroy,0,1
86,destroy,1,1
86,destroy,2,1
86,repair,0,1
86,repair,1,1
87,destroy,0,1
87,destroy,1,1
87,destroy,2,1
87,repair,0,1
87,repair,1,1
88,destroy,0,1
88,destroy,1,1
88,destroy,2,1
